Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
521242,Kandagiri Spinning Mills Ltd-$,ANUPAMA  D,Promoter,Equity Shares,1170,0.03,Equity Shares,1170,18720.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,AKSHAYAM CREATIONS LLP,Other,Equity Shares,0,0.00,Equity Shares,2321501,37144016.00,Acquisition,Equity,2321501,60.31,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
524636,Oxygenta Pharmaceutical Ltd,Sunil Vishram Chawda,Promoter & Director,Equity Shares,4161200,11.25,Equity Shares,3063200,64327200.00,Disposal,Equity,1098000,2.97,22 Apr 2025,22 Apr 2025,24 Apr 2025,Others,,,,,,,NA,26 Apr 2025
524636,Oxygenta Pharmaceutical Ltd,Manoj Sunil Chawda,Promoter,Equity Shares,1582500,4.28,Equity Shares,1012800,21268800.00,Disposal,Equity,569700,1.54,22 Apr 2025,22 Apr 2025,24 Apr 2025,Others,,,,,,,NA,26 Apr 2025
524636,Oxygenta Pharmaceutical Ltd,AAKANKSHA M. CHAWDA,Promoter,Equity Shares,1582500,4.28,Equity Shares,1012800,21268800.00,Disposal,Equity,569700,1.54,22 Apr 2025,22 Apr 2025,24 Apr 2025,Others,,,,,,,NA,26 Apr 2025
524636,Oxygenta Pharmaceutical Ltd,VIRUPAKSHA ORGANICS LIMITED,Promoter,Equity Shares,2779558,7.51,Equity Shares,5088800,106864800.00,Acquisition,Equity,7868358,21.28,22 Apr 2025,22 Apr 2025,24 Apr 2025,Others,,,,,,,NA,26 Apr 2025
532661,Rane (Madras) Ltd,Malavika Lakshman & Harish Lakshman,Promoter,Equity Shares,0,0.00,Equity Shares,74,68494.00,Acquisition,Equity,74,0.00,23 Apr 2025,23 Apr 2025,24 Apr 2025,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,26 Apr 2025
532661,Rane (Madras) Ltd,Pushpa Lakshman & Lakshman L,Promoter,Equity Shares,0,0.00,Equity Shares,74,68494.00,Acquisition,Equity,74,0.00,23 Apr 2025,23 Apr 2025,24 Apr 2025,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,26 Apr 2025
532661,Rane (Madras) Ltd,Lakshman L & Pushpa Lakshman,Promoter,Equity Shares,0,0.00,Equity Shares,74,68494.00,Acquisition,Equity,74,0.00,23 Apr 2025,23 Apr 2025,24 Apr 2025,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,26 Apr 2025
532661,Rane (Madras) Ltd,Ganesh L & Meenakshi Ganesh,Promoter,Equity Shares,0,0.00,Equity Shares,90,83304.00,Acquisition,Equity,90,0.00,23 Apr 2025,23 Apr 2025,24 Apr 2025,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,26 Apr 2025
532661,Rane (Madras) Ltd,Rekha Sundar,Promoter Group,Equity Shares,1060,0.01,Equity Shares,20370,18854472.00,Acquisition,Equity,21430,0.08,23 Apr 2025,23 Apr 2025,24 Apr 2025,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,26 Apr 2025
532661,Rane (Madras) Ltd,Rane Holdings Ltd,Promoter,Equity Shares,11672774,71.77,Equity Shares,5958439,5515131138.00,Acquisition,Equity,17631213,63.80,23 Apr 2025,23 Apr 2025,25 Apr 2025,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,26 Apr 2025
532661,Rane (Madras) Ltd,Nisshinbo Holdings Inc.,Promoter,Equity Shares,0,0.00,Equity Shares,1675011,1550390182.00,Acquisition,Equity,1675011,6.06,23 Apr 2025,23 Apr 2025,24 Apr 2025,Scheme of Amalgamation/Merger/Demerger/Arrangement,,,,,,,NA,26 Apr 2025
530197,Fundviser Capital (India) Ltd,Mohit Jain HUF,Promoter Group,Warrants,107500,0.00,Warrants,107500,4696406.00,Disposal,Warrants,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Conversion of security,,,,,,,NA,26 Apr 2025
530197,Fundviser Capital (India) Ltd,Mohit Jain HUF,Promoter Group,Equity Shares,107500,2.09,Equity Shares,107500,4696406.00,Acquisition,Equity,215000,3.63,24 Apr 2025,24 Apr 2025,25 Apr 2025,Conversion of security,,,,,,,NA,26 Apr 2025
530197,Fundviser Capital (India) Ltd,Moksh Finvest & Advisors LLP,Promoter Group,Warrants,630000,0.00,Warrants,630000,27523125.00,Disposal,Warrants,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Conversion of security,,,,,,,NA,26 Apr 2025
530197,Fundviser Capital (India) Ltd,Moksh Finvest & Advisors LLP,Promoter Group,Equity Shares,455000,8.83,Equity Shares,630000,27523125.00,Acquisition,Equity,1085000,18.34,24 Apr 2025,24 Apr 2025,25 Apr 2025,Conversion of security,,,,,,,NA,26 Apr 2025
530197,Fundviser Capital (India) Ltd,Malika Jain,Promoter Group,Warrants,25000,0.00,Warrants,25000,1092188.00,Disposal,Warrants,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Conversion of security,,,,,,,NA,26 Apr 2025
