Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
531173,Syschem India Ltd,Bimal Virendra Shah,Promoter,Equity Shares,2025144,5.08,Equity Shares,612500,30012500.00,Acquisition,Equity,2637644,6.06,05 Mar 2025,05 Mar 2025,05 Mar 2025,Allotment,,,,,,,NA,06 Mar 2025
531173,Syschem India Ltd,Bhavesh Virendra Shah,Promoter,Equity Shares,2025144,5.08,Equity Shares,737500,36137500.00,Acquisition,Equity,2762644,6.35,05 Mar 2025,05 Mar 2025,05 Mar 2025,Allotment,,,,,,,NA,06 Mar 2025
531173,Syschem India Ltd,Virendra Popatlal Shah,Promoter,Equity Shares,3900308,9.78,Equity Shares,637500,31237500.00,Acquisition,Equity,4537808,10.43,05 Mar 2025,05 Mar 2025,05 Mar 2025,Allotment,,,,,,,NA,06 Mar 2025
531173,Syschem India Ltd,Dinesh Jagdishchandra Khokhani,Promoter,Equity Shares,2790825,7.00,Equity Shares,512500,25112500.00,Acquisition,Equity,3303325,7.59,05 Mar 2025,05 Mar 2025,05 Mar 2025,Allotment,,,,,,,NA,06 Mar 2025
531173,Syschem India Ltd,Mahesh J Khokhani,Promoter,Equity Shares,2896079,7.26,Equity Shares,612500,30012500.00,Acquisition,Equity,3508579,8.06,05 Mar 2025,05 Mar 2025,05 Mar 2025,Allotment,,,,,,,NA,06 Mar 2025
531173,Syschem India Ltd,Mehul J Khokhani,Promoter,Equity Shares,2511110,6.29,Equity Shares,537500,26337500.00,Acquisition,Equity,3048610,7.01,05 Mar 2025,05 Mar 2025,05 Mar 2025,Allotment,,,,,,,NA,06 Mar 2025
531307,RRIL Ltd,Ratanchand  D Jain,Promoter & Director,Equity Shares,61892388,51.06,Equity Shares,59385,1088433.00,Acquisition,Equity,61951773,51.11,04 Mar 2025,05 Mar 2025,06 Mar 2025,Market Purchase,,,,,,,BSE,06 Mar 2025
505533,Westlife Foodworld Ltd,Westlife ESOS Trust,Connected Person,Equity Shares,533483,0.34,Equity Shares,3000,2062273.00,Acquisition,Equity,536483,0.34,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
505343,Monotype India Ltd ,INNOCENT INVESTMENT CONSULTANTS LLP,Promoter Group,Equity Shares,50661144,7.20,Equity Shares,585731,456779.00,Disposal,Equity,50075413,7.12,05 Mar 2025,05 Mar 2025,06 Mar 2025,Market Sale,,,,,,,BSE,06 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Bhushan Vijaykumar Sachdev Revised ,Designated Person,Equity Shares,13000,0.01,Equity Shares,2500,4381923.00,Revoke,Equity,13000,0.01,27 Nov 2024,28 Nov 2024,29 Nov 2024,Revocation Of Pledge,,,,,,,NA,06 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Bal Krishen Dhar Revised ,Designated Person,Equity Shares,1700,0.00,Equity Shares,1500,2610004.00,Revoke,Equity,1700,0.00,27 Nov 2024,27 Nov 2024,28 Nov 2024,Revocation Of Pledge,,,,,,,NA,06 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Nikhil Chopra Revised ,Director,Equity Shares,40000,0.03,Equity Shares,25000,43406359.00,Revoke,Equity,40000,0.03,29 Nov 2024,29 Nov 2024,02 Dec 2024,Revocation Of Pledge,,,,,,,NA,06 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Bhushan Vijaykumar Sachdev Revised ,Designated Person,Equity Shares,10500,0.01,Equity Shares,2500,2610004.00,Revoke,Equity,10500,0.01,29 Nov 2024,29 Nov 2024,02 Dec 2024,Revocation Of Pledge,,,,,,,NA,06 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Nikhil Chopra Revised ,Director,Equity Shares,15000,0.01,Equity Shares,15000,26325134.00,Revoke,Equity,15000,0.01,02 Dec 2024,02 Dec 2024,03 Dec 2024,Revocation Of Pledge,,,,,,,NA,06 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Bhushan Vijaykumar Sachdev Revised ,Designated Person,Equity Shares,8000,0.01,Equity Shares,3000,5261020.00,Revoke,Equity,8000,0.01,02 Dec 2024,02 Dec 2024,03 Dec 2024,Revocation Of Pledge,,,,,,,NA,06 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Bhushan Vijaykumar Sachdev Revised ,Designated Person,Equity Shares,5000,0.00,Equity Shares,2500,4453375.00,Revoke,Equity,5000,0.00,03 Dec 2024,03 Dec 2024,04 Dec 2024,Revocation Of Pledge,,,,,,,NA,06 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Pradeep Kumar Singh Revised ,Designated Person,Equity Shares,18000,0.01,Equity Shares,6000,10651790.00,Revoke,Equity,18000,0.01,03 Dec 2024,03 Dec 2024,04 Dec 2024,Revocation Of Pledge,,,,,,,NA,06 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Bhushan Vijaykumar Sachdev Revised ,Designated Person,Equity Shares,2500,0.00,Equity Shares,2500,4544000.00,Revoke,Equity,2500,0.00,04 Dec 2024,04 Dec 2024,05 Dec 2024,Revocation Of Pledge,,,,,,,NA,06 Mar 2025
507315,Sakthi Sugars Ltd,ABT Investments India  Private Limited,Promoter Group,Equity Shares,66473540,55.93,Equity Shares,700000,14679000.00,Pledge,Equity,66473540,55.93,03 Mar 2025,03 Mar 2025,04 Mar 2025,Creation Of Pledge,,,,,,,NA,06 Mar 2025
509040,Netlink Solutions India Ltd,Jineshvar Securities Private Limited,Promoter,Equity Shares,451562,17.85,Equity Shares,35000,4035000.00,Disposal,Equity,416562,16.47,05 Mar 2025,06 Mar 2025,06 Mar 2025,Market Sale,,,,,,,BSE,06 Mar 2025
509709,International Conveyors Ltd,Elpro International Limited,Promoter Group,Equity Shares,57646,0.09,Equity Shares,31075,2085894.00,Acquisition,Equity,88721,0.14,28 Feb 2025,28 Feb 2025,04 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
509709,International Conveyors Ltd,Elpro International Limited,Promoter Group,Equity Shares,88721,0.14,Equity Shares,38739,2566091.00,Acquisition,Equity,127460,0.20,03 Mar 2025,03 Mar 2025,04 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
509709,International Conveyors Ltd,Elpro International Limited,Promoter Group,Equity Shares,127460,0.20,Equity Shares,19894,1326466.00,Acquisition,Equity,147354,0.23,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
511523,Veerhealth Care Ltd,Krupa Harsh Jain,Promoter,Equity Shares,696600,3.48,Equity Shares,43462,455482.00,Acquisition,Equity,740062,3.70,05 Mar 2025,05 Mar 2025,06 Mar 2025,Market Purchase,,,,,,,BSE,06 Mar 2025
511413,Crest Ventures Ltd,FINE ESTATES PRIVATE LIMITED,Promoter,Equity Shares,15769256,55.43,Equity Shares,12725,4462906.00,Acquisition,Equity,15781981,55.47,04 Mar 2025,05 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
512070,UPL Ltd,SHABNAM NAGARIA Revised ,Immediate Relative,Equity Shares,12525,0.00,Equity Shares,3750,2011875.00,Revoke,Equity,12525,0.00,18 Nov 2024,18 Nov 2024,26 Nov 2024,Revocation Of Pledge,,,,,,,NA,06 Mar 2025
500148,Uflex Ltd,Flex International Private Limited,Promoter Group,Equity Shares,9604287,13.30,Equity Shares,50000,23015000.00,Pledge,Equity,9604287,13.30,05 Mar 2025,05 Mar 2025,06 Mar 2025,Creation Of Pledge,,,,,,,NA,06 Mar 2025
500209,Infosys Ltd,Infosys Employee Benefits Trust,Trust,Equity Shares,10112672,0.25,Equity Shares,48526,88567229.00,Disposal,Equity,10064146,0.25,21 Feb 2025,21 Feb 2025,04 Mar 2025,Off Market,,,,,,,NA,06 Mar 2025
500209,Infosys Ltd,Infosys Employee Benefits Trust,Trust,Equity Shares,10064146,0.25,Equity Shares,51694,91203724.00,Disposal,Equity,10012452,0.25,27 Feb 2025,27 Feb 2025,04 Mar 2025,Off Market,,,,,,,NA,06 Mar 2025
500209,Infosys Ltd,Infosys Employee Benefits Trust,Trust,Equity Shares,10012452,0.25,Equity Shares,1539,2597370.00,Disposal,Equity,10010913,0.25,28 Feb 2025,28 Feb 2025,04 Mar 2025,Off Market,,,,,,,NA,06 Mar 2025
500209,Infosys Ltd,Ambeshwar Nath Revised ,Designated Person,Equity Shares,22330,0.00,Equity Shares,4090,7725612.00,Acquisition,Equity,26420,0.00,14 Feb 2025,14 Feb 2025,14 Feb 2025,ESOP,,,,,,,NA,06 Mar 2025
500209,Infosys Ltd,Ambeshwar Nath Revised ,Designated Person,Equity Shares,26420,0.00,Equity Shares,2645,4996148.00,Disposal,Equity,23775,0.00,14 Feb 2025,14 Feb 2025,14 Feb 2025,ESOP,,,,,,,NA,06 Mar 2025
500209,Infosys Ltd,Anant Raghavendra Adya Revised ,Designated Person,Equity Shares,51878,0.00,Equity Shares,6123,11565751.00,Acquisition,Equity,58001,0.00,14 Feb 2025,14 Feb 2025,14 Feb 2025,ESOP,,,,,,,NA,06 Mar 2025
500209,Infosys Ltd,Anant Raghavendra Adya Revised ,Designated Person,Equity Shares,58001,0.00,Equity Shares,2848,5379595.00,Disposal,Equity,55153,0.00,14 Feb 2025,14 Feb 2025,14 Feb 2025,ESOP,,,,,,,NA,06 Mar 2025
500209,Infosys Ltd,Dennis Kantilal Gada Revised ,Designated Person,Equity Shares,49849,0.00,Equity Shares,6837,12914428.00,Acquisition,Equity,56686,0.00,14 Feb 2025,14 Feb 2025,14 Feb 2025,ESOP,,,,,,,NA,06 Mar 2025
500209,Infosys Ltd,Dennis Kantilal Gada Revised ,Designated Person,Equity Shares,56686,0.00,Equity Shares,3302,6237157.00,Disposal,Equity,53384,0.00,14 Feb 2025,14 Feb 2025,14 Feb 2025,ESOP,,,,,,,NA,06 Mar 2025
500209,Infosys Ltd,Ruchir Budhwar Revised ,Designated Person,Equity Shares,16205,0.00,Equity Shares,5812,10978302.00,Acquisition,Equity,22017,0.00,14 Feb 2025,14 Feb 2025,14 Feb 2025,ESOP,,,,,,,NA,06 Mar 2025
500209,Infosys Ltd,Ruchir Budhwar Revised ,Designated Person,Equity Shares,22017,0.00,Equity Shares,5031,9503069.00,Disposal,Equity,16986,0.00,14 Feb 2025,14 Feb 2025,14 Feb 2025,ESOP,,,,,,,NA,06 Mar 2025
500339,Rain Industries Ltd,Sujala Investments Private Limited,Promoter,Equity Shares,37811577,11.24,Equity Shares,24474,3125433.00,Acquisition,Equity,37836051,11.25,05 Mar 2025,05 Mar 2025,06 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
500215,Sundrop Brands Ltd,Infinity Portfolio Holdings,Promoter Group,Equity Shares,80306,0.21,Equity Shares,8852,7087071.00,Acquisition,Equity,89158,0.24,03 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
500247,Kotak Mahindra Bank Ltd,Venkattu Srinivasan,Connected Person,Equity Shares,190867,0.01,Equity Shares,2000,3830000.00,Disposal,Equity,188867,0.01,03 Mar 2025,03 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
500247,Kotak Mahindra Bank Ltd,Venkattu Srinivasan,Connected Person,Equity Shares,188867,0.01,Equity Shares,2000,3773000.00,Disposal,Equity,186867,0.01,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
500404,Sunflag Iron & Steel Company Ltd,Mr. Sajiv Dhawan,Director,Equity Shares,14000,0.01,Equity Shares,3500,774820.00,Disposal,Equity,10500,0.01,05 Mar 2025,05 Mar 2025,06 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
500520,Mahindra & Mahindra Ltd,Ashutosh Prakash Vidwans,Designated Person,Equity Shares,6306,0.00,Equity Shares,200,626227.00,Disposal,Equity,6106,0.00,11 Feb 2025,11 Feb 2025,06 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
500520,Mahindra & Mahindra Ltd,Ashutosh Prakash Vidwans,Designated Person,Equity Shares,6106,0.00,Equity Shares,100,295000.00,Disposal,Equity,6006,0.00,14 Feb 2025,14 Feb 2025,06 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
500520,Mahindra & Mahindra Ltd,Ashutosh Prakash Vidwans,Designated Person,Equity Shares,6006,0.00,Equity Shares,50,137000.00,Disposal,Equity,5956,0.00,06 Mar 2025,06 Mar 2025,06 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Mrinal Kumar Nath Revised ,Employee,Equity Shares,2000,0.00,Equity Shares,100,152100.00,Disposal,Equity,1900,0.00,13 Feb 2025,13 Feb 2025,18 Feb 2025,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Mrinal Kumar Nath Revised ,Employee,Equity Shares,1900,0.00,Equity Shares,150,236100.00,Disposal,Equity,1750,0.00,13 Feb 2025,13 Feb 2025,18 Feb 2025,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Harshal Navinchandra Bhatt Revised ,Employee,Equity Shares,2333,0.00,Equity Shares,247,382850.00,Disposal,Equity,2086,0.00,12 Feb 2025,12 Feb 2025,13 Feb 2025,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Harshal Navinchandra Bhatt Revised ,Employee,Equity Shares,2086,0.00,Equity Shares,86,133730.00,Disposal,Equity,2000,0.00,12 Feb 2025,12 Feb 2025,13 Feb 2025,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Purnendu Karunakar Mallick Revised ,Employee,Equity Shares,2500,0.00,Equity Shares,600,890400.00,Disposal,Equity,1900,0.00,26 Dec 2024,26 Dec 2024,26 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Sanjay Navin Shah Revised ,Employee,Equity Shares,127167,0.28,Equity Shares,4000,5850000.00,Disposal,Equity,123167,0.27,24 Dec 2024,24 Dec 2024,25 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Mrinal Kumar Nath Revised ,Employee,Equity Shares,3750,0.00,Equity Shares,300,379800.00,Disposal,Equity,3450,0.00,28 Nov 2024,28 Nov 2024,20 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Mrinal Kumar Nath Revised ,Employee,Equity Shares,3450,0.00,Equity Shares,150,220800.00,Disposal,Equity,3300,0.00,19 Dec 2024,19 Dec 2024,20 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Mrinal Kumar Nath Revised ,Employee,Equity Shares,3300,0.00,Equity Shares,700,1056300.00,Disposal,Equity,2600,0.00,19 Dec 2024,19 Dec 2024,20 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Mrinal Kumar Nath Revised ,Employee,Equity Shares,2600,0.00,Equity Shares,300,455400.00,Disposal,Equity,2300,0.00,19 Dec 2024,19 Dec 2024,20 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Mrinal Kumar Nath Revised ,Employee,Equity Shares,2300,0.00,Equity Shares,300,444600.00,Disposal,Equity,2000,0.00,20 Dec 2024,20 Dec 2024,20 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Prajapati Himanshu S Revised ,Employee,Equity Shares,1750,0.00,Equity Shares,450,683550.00,Disposal,Equity,1300,0.00,19 Dec 2024,19 Dec 2024,19 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Sunil Kumar Pandey Revised ,Employee,Equity Shares,2500,0.00,Equity Shares,500,741180.00,Disposal,Equity,2000,0.00,20 Dec 2024,20 Dec 2024,20 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Tejas A Patel Revised ,Employee,Equity Shares,2500,0.00,Equity Shares,150,225000.00,Disposal,Equity,2350,0.00,19 Dec 2024,19 Dec 2024,23 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Harshal Navinchandra Bhatt Revised ,Employee,Equity Shares,2633,0.00,Equity Shares,300,448500.00,Disposal,Equity,2333,0.00,17 Dec 2024,17 Dec 2024,17 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Harshal Navinchandra Bhatt Revised ,Employee,Equity Shares,3333,0.00,Equity Shares,200,298000.00,Disposal,Equity,3133,0.00,16 Dec 2024,16 Dec 2024,16 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Harshal Navinchandra Bhatt Revised ,Employee,Equity Shares,3133,0.00,Equity Shares,250,373905.00,Disposal,Equity,2883,0.00,16 Dec 2024,16 Dec 2024,16 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Harshal Navinchandra Bhatt Revised ,Employee,Equity Shares,2883,0.00,Equity Shares,250,375000.00,Disposal,Equity,2633,0.00,16 Dec 2024,16 Dec 2024,16 Dec 2024,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Ashima Rajnish Bakshi Revised ,Employee,Equity Shares,0,0.00,Equity Shares,30,48000.00,Acquisition,Equity,30,0.00,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Mrinal Kumar Nath Revised ,Employee,Equity Shares,1750,0.00,Equity Shares,100,147248.00,Disposal,Equity,1650,0.00,24 Feb 2025,24 Feb 2025,25 Feb 2025,Market Sale,,,,,,,NSE,06 Mar 2025
501423,Shaily Engineering Plastics Ltd,Mrinal Kumar Nath Revised ,Employee,Equity Shares,1650,0.00,Equity Shares,100,149165.00,Disposal,Equity,1550,0.00,25 Feb 2025,25 Feb 2025,25 Feb 2025,Market Sale,,,,,,,NSE,06 Mar 2025
504220,W. S. Industries (India) Ltd-$,S Anandavadivel,Promoter,Equity Shares,4514096,7.12,Equity Shares,7000,514939.00,Acquisition,Equity,4521096,7.13,03 Mar 2025,03 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
504220,W. S. Industries (India) Ltd-$,S Anandavadivel,Promoter,Equity Shares,4521096,7.13,Equity Shares,5000,365346.00,Acquisition,Equity,4526096,7.14,03 Mar 2025,03 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,BSE,06 Mar 2025
504220,W. S. Industries (India) Ltd-$,S Aravindan,Promoter,Equity Shares,4338826,6.84,Equity Shares,15503,1119792.00,Acquisition,Equity,4354329,6.87,03 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
541540,Solara Active Pharma Sciences Ltd,Pronomz Ventures LLP,Promoter,Equity Shares,2660824,5.54,Equity Shares,13600,6276382.00,Acquisition,Equity,2674424,5.57,28 Feb 2025,28 Feb 2025,04 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
542651,KPIT Technologies Ltd,Rohan Sohoni,Designated Person,Equity Shares,21000,0.01,Equity Shares,15000,17951550.00,Disposal,Equity,6000,0.00,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Sale,,,,,,,BSE,06 Mar 2025
542332,Hi-Klass Trading and Investment Ltd,NICOINDIA CONSULTANCY LLP,Promoter,Equity Shares,0,0.00,Equity Shares,2486720,24867200.00,Acquisition,Equity,2486720,17.50,04 Mar 2025,04 Mar 2025,06 Mar 2025,Allotment,,,,,,,BSE,06 Mar 2025
540575,Star Cement Ltd,Sonu Kajaria,Promoter Group,Equity Shares,1326560,0.33,Equity Shares,700000,0.00,Disposal,Equity,626560,0.16,03 Mar 2025,03 Mar 2025,04 Mar 2025,Gift,,,,,,,NA,06 Mar 2025
540575,Star Cement Ltd,Sajjan Bhajanka,Promoter & Director,Equity Shares,47886362,11.85,Equity Shares,700000,0.00,Acquisition,Equity,48586362,12.02,03 Mar 2025,03 Mar 2025,04 Mar 2025,Gift,,,,,,,NA,06 Mar 2025
540686,Smruthi Organics Ltd,VAISHNAVI PURUSHOTHAM EAGA,Promoter Group,Equity Shares,1732520,15.14,Equity Shares,15600,0.00,Acquisition,Equity,1748120,15.27,03 Mar 2025,03 Mar 2025,04 Mar 2025,Gift,,,,,,,BSE,06 Mar 2025
540686,Smruthi Organics Ltd,SHOBHANA DASHARATH BURGUL,Promoters Immediate Relative,Equity Shares,15600,0.13,Equity Shares,15600,0.00,Disposal,Equity,0,0.00,03 Mar 2025,03 Mar 2025,04 Mar 2025,Gift,,,,,,,BSE,06 Mar 2025
540686,Smruthi Organics Ltd,EAGA PURUSHOTHAM MALAIAH,Promoter & Director,Equity Shares,4665245,40.76,Equity Shares,50,5900.00,Acquisition,Equity,4665295,40.75,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,BSE,06 Mar 2025
540776,5paisa Capital Ltd,Ameya Agnihotri,Director,Equity Shares,12500,0.04,Equity Shares,4433,1459579.00,Disposal,Equity,8067,0.03,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
540776,5paisa Capital Ltd,Ameya Agnihotri,Director,Equity Shares,8067,0.03,Equity Shares,8067,2703502.00,Disposal,Equity,0,0.00,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
540376,Avenue Supermarts Ltd,Dastgir Shaikh,Designated Person,Equity Shares,262000,0.04,Equity Shares,500,1725000.00,Disposal,Equity,261500,0.04,03 Mar 2025,05 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
540376,Avenue Supermarts Ltd,Jude Fernandez,Designated Person,Equity Shares,8089,0.00,Equity Shares,300,1050000.00,Disposal,Equity,7789,0.00,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
540124,G N A Axles Ltd,HARWINDER SINGH SEHRA Revised ,Promoter Group,Equity Shares,9970,0.02,Equity Shares,5050,1520000.00,Acquisition,Equity,15020,0.03,28 Feb 2025,28 Feb 2025,04 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
537766,B.C. Power Controls Ltd,BON LON PRIVATE LIMITED,Promoter Group,Equity Shares,799523,1.15,Equity Shares,600000,1986000.00,Disposal,Equity,199523,0.29,04 Mar 2025,04 Mar 2025,06 Mar 2025,Market Sale,,,,,,,BSE,06 Mar 2025
537766,B.C. Power Controls Ltd,BON-LON SECURITIES LIMITED,Promoter Group,Equity Shares,600000,0.86,Equity Shares,600000,1986000.00,Disposal,Equity,0,0.00,04 Mar 2025,04 Mar 2025,06 Mar 2025,Market Sale,,,,,,,BSE,06 Mar 2025
537766,B.C. Power Controls Ltd,HARSHIT FINVEST PRIVATE LIMITED,Promoter Group,Equity Shares,800000,1.15,Equity Shares,800000,2648000.00,Disposal,Equity,0,0.00,04 Mar 2025,04 Mar 2025,06 Mar 2025,Market Sale,,,,,,,BSE,06 Mar 2025
538732,Vibrant Global Capital Ltd,VAIBHAV VINOD GARG,Promoter & Director,Equity Shares,13293334,58.03,Equity Shares,31000,1558584.00,Acquisition,Equity,13324334,58.17,05 Mar 2025,05 Mar 2025,06 Mar 2025,Market Purchase,,,,,,,BSE,06 Mar 2025
539524,Dr. Lal PathLabs Ltd,Ved Prakash Goel,KMP,Equity Shares,12052,0.01,Equity Shares,1625,16250.00,Acquisition,Equity,13677,0.02,05 Mar 2025,05 Mar 2025,05 Mar 2025,ESOP,,,,,,,NA,06 Mar 2025
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Equity Shares,2425428,0.14,Equity Shares,12784,127840.00,Disposal,Equity,2412644,0.14,28 Feb 2025,28 Feb 2025,04 Mar 2025,ESOP,,,,,,,NA,06 Mar 2025
533148,JSW Energy Ltd,JSW Energy Employees Welfare Trust,Trust,Equity Shares,2412644,0.14,Equity Shares,162,74623.00,Disposal,Equity,2412482,0.14,03 Mar 2025,03 Mar 2025,05 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
532899,Kaveri Seed Company Ltd,KAVERI EMPLOYEES TRUST,Connected Person,Equity Shares,336675,0.65,Equity Shares,31952,33636463.00,Acquisition,Equity,368627,0.72,05 Mar 2025,05 Mar 2025,06 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
532869,Tarmat Ltd,JERRY VARGHESE,Promoter & Director,Equity Shares,3281821,13.78,Equity Shares,16600,903456.00,Acquisition,Equity,3298421,13.85,04 Mar 2025,04 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
533326,Texmaco Rail & Engineering Ltd,Ashok Kumar Vijay,Director,Equity Shares,22530,0.01,Equity Shares,20000,2650597.00,Disposal,Equity,2530,0.00,04 Mar 2025,04 Mar 2025,06 Mar 2025,Market Sale,,,,,,,NSE,06 Mar 2025
533333,Fineotex Chemical Ltd,Mr. Sanjay Tibrewala,Promoter,Equity Shares,3434990,3.00,Equity Shares,20000,4731600.00,Acquisition,Equity,3454990,3.02,06 Mar 2025,06 Mar 2025,06 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
533316,STEL Holdings Ltd,DIGIDRIVE DISTRIBUTORS LTD,Promoter Group,Equity Shares,209881,1.14,Equity Shares,2000,780149.00,Acquisition,Equity,211881,1.15,05 Mar 2025,05 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
533150,Godrej Properties Ltd,Godrej Seeds & Genetics  Limited,Promoter Group,Equity Shares,321922,0.11,Equity Shares,100000,193970380.00,Acquisition,Equity,421922,0.14,03 Mar 2025,03 Mar 2025,05 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
544354,Solarium Green Energy Ltd,ADITYA GOYAL,Promoter Group,Equity Shares,982694,4.71,Equity Shares,27000,6974910.00,Acquisition,Equity,1009694,4.84,03 Mar 2025,03 Mar 2025,04 Mar 2025,Market Purchase,,,,,,,BSE,06 Mar 2025
544333,Standard Glass Lining Technology Ltd,RADHIKA NANNAPANENI,Director,Equity Shares,132100,0.07,Equity Shares,7000,928900.00,Acquisition,Equity,139100,0.07,19 Feb 2025,19 Feb 2025,04 Mar 2025,Market Purchase,,,,,,,NSE,06 Mar 2025
